# ROAD NETWORK GRAPH - TIRANA, ALBANIA - NJESIA 9 
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
source,target,weight
6236347535,576989625,3.27
576989625,6236347535,3.27
1843574852,577939064,35.68
577939064,1843574852,35.68
577939064,577939057,87.93
577939057,577939064,87.93
577939057,6988661356,49.59
6988661356,577939057,49.59
6988661356,6997515999,3.09
6997515999,6988661356,3.09
6997515999,6997515998,3.29
6997515998,6997515999,3.29
6997515998,6997515997,5.25
6997515997,6997515998,5.25
6997515997,4685366622,2.10
4685366622,6997515997,2.10
4685366622,6997515996,2.18
6997515996,4685366622,2.18
6997515996,6988661355,3.40
6988661355,6997515996,3.40
4572948845,577939135,20.14
577939135,4572948845,20.14
577939135,577939138,33.61
577939138,577939135,33.61
577939138,4572948844,66.97
4572948844,577939138,66.97
4572948844,4572948806,78.05
4572948806,4572948844,78.05
4572948806,1843954966,8.40
1843954966,4572948806,8.40
10974935651,1847323231,39.23
1847323231,10974935651,39.23
1847323231,4584216075,11.49
4584216075,1847323231,11.49
4584216075,1847323358,33.62
1847323358,4584216075,33.62
1847323358,1847323190,3.94
1847323190,1847323358,3.94
1847323190,6991098363,3.73
6991098363,1847323190,3.73
6991098363,1847323501,3.91
1847323501,6991098363,3.91
1847323501,6991098364,3.79
6991098364,1847323501,3.79
6991098364,1847323380,3.19
1847323380,6991098364,3.19
1847323380,4584216082,23.53
4584216082,1847323380,23.53
4584216082,1847323403,43.70
1847323403,4584216082,43.70
1847323403,1847323489,6.35
1847323489,1847323403,6.35
1847323489,1847323422,4.53
1847323422,1847323489,4.53
1847323422,727740677,5.43
727740677,1847323422,5.43
727740677,4584216149,26.52
4584216149,727740677,26.52
4584216149,6991098373,82.99
6991098373,4584216149,82.99
6991098373,1847323515,34.50
1847323515,6991098373,34.50
1847323515,6991098374,8.70
6991098374,1847323515,8.70
6991098374,10974935648,9.14
10974935648,6991098374,9.14
1847323219,11194906167,10.67
11194906167,1847323219,10.67
11194906167,910009314,3.92
910009314,11194906167,3.92
910009314,6990959565,4.90
6990959565,910009314,4.90
6990959565,6990959566,4.57
6990959566,6990959565,4.57
6990959566,6990959508,32.64
6990959508,6990959566,32.64
6990959508,910009318,5.37
910009318,6990959508,5.37
910009318,6990959512,36.04
6990959512,910009318,36.04
6990959512,12097433563,47.37
12097433563,6990959512,47.37
12097433563,910009321,5.32
910009321,12097433563,5.32
910009321,910009322,7.14
910009322,910009321,7.14
910009322,910009325,6.66
910009325,910009322,6.66
910009325,4583912062,8.68
4583912062,910009325,8.68
4583912062,6991098347,9.65
6991098347,4583912062,9.65
6991098347,1251548767,10.41
1251548767,6991098347,10.41
1251548767,1251548774,13.06
1251548774,1251548767,13.06
1251548774,11009470973,10.03
11009470973,1251548774,10.03
11009470973,11009470974,38.84
11009470974,11009470973,38.84
11009470974,388274216,11.98
388274216,11009470974,11.98
6864471933,10920309917,53.14
10920309917,6887369400,37.51
6887369400,6887369396,50.42
6887369396,10998430103,49.40
10998430103,10998452009,31.25
10998452009,10998452012,24.17
10998452012,10998429417,9.94
10998429417,1484741959,9.36
1484741959,10998429415,14.74
10998429415,5297635250,43.07
5297635250,10998429436,7.46
10998429436,10949902138,56.51
10949902138,10949902141,22.25
10949902141,1843955886,15.86
1843955886,4671260295,34.22
4671260295,5021787593,66.30
5021787593,4671260304,31.89
4671260304,10949902144,56.78
10949902144,12601564518,9.10
12601564518,4671260309,24.43
4671260309,10983313239,37.40
10983313239,6286106785,33.35
6286106785,6179169320,4.97
6179169320,5021787590,2.91
507807593,507807611,50.64
507807611,507807593,50.64
13190454492,10900387932,1.10
10900387932,13190454493,2.75
13190454493,12479531299,2.83
12479531299,11432791175,6.14
11432791175,11432791182,6.64
11432791182,11432791181,6.64
11432791181,11432791180,6.65
577939069,6310290600,11.84
6310290600,577939069,11.84
6310290600,6988661374,11.22
6988661374,6310290600,11.22
6988661374,1744630124,14.35
