# ROAD NETWORK GRAPH - TOKYO
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
# V = 4,968; E = 10,620;
source,target,weight
1664033854,472447274,20.01
1664033854,472447276,126.95
472447276,1664033854,126.95
472447277,472447278,145.29
472447278,472447277,145.29
1664033666,4717670585,12.53
4717670585,12644659404,20.03
12644659404,12644659402,15.40
12644659402,3897767096,17.62
3897767096,3897767094,70.26
3897767094,6769476689,4.90
6769476689,9791542150,8.55
472447290,4717672305,17.29
4717672305,472447290,17.29
4717672305,4717672288,110.22
4717672288,4717672305,110.22
4717672288,4717672287,107.40
4717672287,4717672288,107.40
4717672287,4717672286,4.41
4717672286,4717672287,4.41
4717672286,4717672317,3.64
4717672317,4717672286,3.64
4717672317,4717672318,112.98
4717672318,4717672317,112.98
4717672318,4717672316,3.75
4717672316,4717672318,3.75
4717672316,4717672319,1.76
4717672319,4717672316,1.76
4717672319,4717672320,112.71
4717672320,4717672319,112.71
4717672320,4717672321,32.32
4717672321,4717672320,32.32
4717672321,4717672322,16.97
4717672322,4717672321,16.97
4717672322,4717672401,16.59
4717672401,4717672322,16.59
4717672401,4717672323,83.63
4717672323,4717672401,83.63
4717672323,4717672253,6.04
4717672253,4717672323,6.04
4717672253,4717672324,39.82
4717672324,4717672253,39.82
4717672324,4717672325,19.79
4717672325,4717672324,19.79
4717672325,4717672326,29.77
4717672326,4717672325,29.77
4717672326,4717672256,10.81
4717672256,4717672326,10.81
4717672256,4717672327,56.81
4717672327,4717672256,56.81
4717672327,4717672267,37.17
4717672267,4717672327,37.17
4717672267,4717672265,5.15
4717672265,4717672267,5.15
1664033802,2401040313,6.78
2401040313,1664033802,6.78
2401040313,1664033812,7.21
1664033812,2401040313,7.21
1664033812,1806870828,2.41
1806870828,1664033812,2.41
1806870828,1806870833,26.73
1806870833,1806870828,26.73
1806870833,1806870834,27.04
1806870834,1806870833,27.04
1806870834,475110167,17.31
475110167,1806870834,17.31
475110167,1664033840,62.66
1664033840,475110167,62.66
1664033840,5940178955,28.15
5940178955,1664033840,28.15
5940178955,1664033810,7.25
1664033810,5940178955,7.25
475110328,475110370,70.49
475110370,475110328,70.49
475110370,11916075609,142.74
11916075609,475110370,142.74
11916075609,475110344,5.34
475110344,11916075609,5.34
475110331,2397996033,4.64
2397996033,475110331,4.64
2397996033,252053598,79.98
252053598,2397996033,79.98
252053598,475110351,137.12
475110351,252053598,137.12
475110351,475110353,2.32
475110353,475110351,2.32
475110353,475110347,23.00
475110347,475110353,23.00
475110347,475110345,47.34
475110345,475110347,47.34
475110345,475110340,49.32
475110340,475110345,49.32
475110340,8520823931,79.39
8520823931,475110340,79.39
8520823931,2397996064,5.49
2397996064,8520823931,5.49
2397996064,475110341,7.64
475110341,2397996064,7.64
5263183137,5263183136,59.22
5263183136,5263183137,59.22
5263183136,475110344,32.66
475110344,5263183136,32.66
475110345,475110346,26.79
475110346,475110345,26.79
475110347,475110348,22.92
475110348,475110347,22.92
475110349,475110351,20.42
475110351,475110349,20.42
475110353,475110354,30.86
475110354,475110353,30.86
475110355,12850764821,51.62
12850764821,475110355,51.62
12850764821,475110358,4.98
475110358,12850764821,4.98
475110363,6276840047,6.39
6276840047,475110363,6.39
6276840047,475110364,47.53
475110364,6276840047,47.53
475110364,475110362,91.04
475110362,475110364,91.04
475110362,2621323836,5.52
2621323836,475110362,5.52
2621323836,1665929899,5.26
1665929899,2621323836,5.26
1665929899,475110359,41.29
475110359,1665929899,41.29
475110359,12850764827,36.63
12850764827,475110359,36.63
12850764827,12850764826,2.27
12850764826,12850764827,2.27
12850764826,475110337,4.87
475110337,12850764826,4.87
475110364,475110365,32.57
475110365,475110364,32.57
475110367,1665929853,25.87
1665929853,475110367,25.87
1665929853,475110368,33.97
475110368,1665929853,33.97
475110368,475110328,36.18
475110328,475110368,36.18
252053597,475110328,53.15
475110328,252053597,53.15
475110369,475110370,42.84
475110370,475110369,42.84
475110371,475110372,24.11
475110372,475110371,24.11
1666084426,2401069467,11.21
2401069467,4716623465,2.32
4716623465,475369285,50.75
475369285,1665978188,8.88
1665978188,4716623464,17.04
4716623464,1665978192,6.60
475368460,475368466,19.40
475368466,1665978197,9.41
1665978197,1094262834,11.63
1094262834,475369292,17.67
475369292,475368467,39.37
475368467,4511333928,9.81
4511333928,475368468,7.85
475368468,4511333930,7.35
4511333930,4511333929,3.99
4511333929,475368469,5.35
475368469,475368470,15.02
475368470,475369327,41.44
475369327,475369295,16.95
475369295,475369326,37.58
475369326,1094262639,22.26
1094262639,1665978226,7.76
1665978226,475368471,3.72
475368471,1665978228,5.65
1665978228,475368472,18.36
475368472,475368485,23.73
475368485,1665978233,13.13
1665978233,475369310,41.69
475369310,1665978234,23.11
1665978234,1094262589,27.29
1094262589,6170421214,9.00
6170421214,1094262878,5.38
1094262878,1094262765,7.36
366924640,4384718921,7.79
4384718921,475368499,36.65
475368499,1094262689,48.25
1094262689,2195288005,8.05
2195288005,475368496,8.60
475368496,6497734535,60.12
6497734535,475368495,42.36
475368495,475368502,32.22
475368502,475368494,21.30
475368494,475368491,39.66
475368491,6170421198,29.29
6170421198,1094262850,10.63
475368499,6497734541,6.55
6497734541,475368499,6.55
6497734541,475368500,61.53
475368500,6497734541,61.53
475368502,6497734540,6.20
6497734540,475368502,6.20
6497734540,475368503,33.32
475368503,6497734540,33.32
158030491,2393573047,15.57
2393573047,472382858,23.14
472382858,472382808,74.88
472382808,472382906,55.17
472382906,2401069479,36.26
2401069479,472382731,10.23
472382731,2401069428,19.31
2401069428,472360350,20.51
472360350,1666084497,27.54
1666084497,472382802,24.58
472382802,2401069437,7.69
2401069437,472360349,62.34
472360349,2401069474,50.58
2401069474,472382716,8.78
472382716,2401069488,58.35
2401069488,472382883,5.56
472382883,7933069571,101.47
7933069571,11006985243,15.33
11006985243,7933069561,5.21
7933069561,7933069567,18.76
7933069567,9905815591,86.51
9905815591,9905815589,81.09
9905815589,9905815590,15.19
9905815590,1142124381,34.89
1142124381,9905815588,9.36
9905815588,1666084451,11.85
1666084451,2401069455,7.82
2401069455,472360112,12.46
475110333,2397996060,13.08
2397996060,475110333,13.08
2397996060,1806870862,4.36
1806870862,2397996060,4.36
1806870862,12240857827,5.75
12240857827,1806870862,5.75
12240857827,475110341,5.61
475110341,12240857827,5.61
475110341,475110335,36.63
475110335,475110341,36.63
475110335,475110361,32.35
475110361,475110335,32.35
475110361,475110336,29.45
475110336,475110361,29.45
475110336,2397996036,19.79
2397996036,475110336,19.79
2397996036,475110358,30.62
475110358,2397996036,30.62
475110358,475110337,21.87
475110337,475110358,21.87
475110337,2621323835,69.10
2621323835,475110337,69.10
2621323835,475110331,5.91
475110331,2621323835,5.91
475110331,2397996012,6.32
2397996012,475110331,6.32
2397996012,475369117,44.29
475369117,2397996012,44.29
475369117,1665929905,9.74
1665929905,475369117,9.74
1665929905,2397996014,95.07
2397996014,1665929905,95.07
2397996014,475368556,7.11
475368556,2397996014,7.11
475368556,2397996080,7.22
2397996080,475368556,7.22
2397996080,9737245451,33.50
9737245451,2397996080,33.50
9737245451,9737245449,27.21
9737245449,9737245451,27.21
9737245449,12666499809,8.39
12666499809,9737245449,8.39
475368520,9737054482,4.48
9737054482,475368520,4.48
9737054482,475368522,92.80
475368522,9737054482,92.80
191504259,475368541,8.60
475368556,1665929927,5.99
1665929927,475368556,5.99
1665929927,475369128,129.60
475369128,1665929927,129.60
475369128,9736998509,28.06
9736998509,475369128,28.06
9736998509,475368557,13.82
475368557,9736998509,13.82
475368557,475369108,9.16
475369108,475368557,9.16
